"","Location","Genotype","Block","Sample_Type","Sample_Type_Blanks_differentiated","Inbred_or_Hybrid","R1_Fastq_Name","R2_Fastq_Name","Experiment","Group"
"MMH-2GH-22K","GH","Ph207","1","Stalk","Stalk","Inbred","MMH-2GH-22K_S144_L001_R1_001.trimmed.fastq.gz","MMH-2GH-22K_S144_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-37Z","GH","B73xPh207","2","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-37Z_S60_L001_R1_001.trimmed.fastq.gz","MMH-2GH-37Z_S60_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END15Ra","IH","DKC70-27","3","Root","Root","Hybrid","END15Ra_S246_L001_R1_001.fastq.gz","END15Ra_S246_L001_R2_001.fastq.gz","END","Root_END"
"END8Zb","IH","Mo17","1","Rhizosphere","Rhizosphere","Inbred","END8Zb_S227_L001_R1_001.fastq.gz","END8Zb_S227_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-50-1Z","IH","Ph207xB73","0","Rhizosphere","Rhizosphere","Hybrid","MMH-50-1Z_S69_L001_R1_001.fastq.gz","MMH-50-1Z_S69_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"P2BK","Blank","Blank","Blank","Stalk","Blank-Stalk","Blank","P2BK_S159_L001_R1_001.fastq.gz","P2BK_S159_L001_R2_001.fastq.gz","END","Blank-Stalk_END"
"END6Ra","IH","CML322","1","Root","Root","Inbred","END6Ra_S272_L001_R1_001.fastq.gz","END6Ra_S272_L001_R2_001.fastq.gz","END","Root_END"
"MMH-48-2Z","IH","Ried_Yellow_Dent","0","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-48-2Z_S68_L001_R1_001.fastq.gz","MMH-48-2Z_S68_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-33-2K","IH","Ph207","0","Stalk","Stalk","Inbred","MMH-33-2K_S55_L001_R1_001.fastq.gz","MMH-33-2K_S55_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-23Z","GH","Mo17xPh207","1","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-23Z_S46_L001_R1_001.trimmed.fastq.gz","MMH-2GH-23Z_S46_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-2R","GH","B73xMo17","0","Root","Root","Hybrid","MMH-2GH-2R_S71_L001_R1_001.trimmed.fastq.gz","MMH-2GH-2R_S71_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END15Zb","IH","DKC70-27","3","Rhizosphere","Rhizosphere","Hybrid","END15Zb_S201_L001_R1_001.fastq.gz","END15Zb_S201_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END1Rb","IH","Mo17","0","Root","Root","Inbred","END1Rb_S259_L001_R1_001.fastq.gz","END1Rb_S259_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-32K","GH","Ph207xB73","2","Stalk","Stalk","Hybrid","MMH-2GH-32K_S118_L001_R1_001.trimmed.fastq.gz","MMH-2GH-32K_S118_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-25R","GH","Mo17","1","Root","Root","Inbred","MMH-2GH-25R_S92_L001_R1_001.trimmed.fastq.gz","MMH-2GH-25R_S92_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END6Ka","IH","CML322","1","Stalk","Stalk","Inbred","END6Ka_S195_L001_R1_001.fastq.gz","END6Ka_S195_L001_R2_001.fastq.gz","END","Stalk_END"
"END7Ka","IH","HP301","1","Stalk","Stalk","Inbred","END7Ka_S256_L001_R1_001.fastq.gz","END7Ka_S256_L001_R2_001.fastq.gz","END","Stalk_END"
"END1Za","IH","Mo17","0","Rhizosphere","Rhizosphere","Inbred","END1Za_S240_L001_R1_001.fastq.gz","END1Za_S240_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-8Z","GH","Ph207xB73","0","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-8Z_S31_L001_R1_001.trimmed.fastq.gz","MMH-2GH-8Z_S31_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-22R","GH","Ph207","1","Root","Root","Inbred","MMH-2GH-22R_S89_L001_R1_001.trimmed.fastq.gz","MMH-2GH-22R_S89_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-52-2Z","IH","B73xPh207","0","Rhizosphere","Rhizosphere","Hybrid","MMH-52-2Z_S72_L001_R1_001.fastq.gz","MMH-52-2Z_S72_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-2GH-31K","GH","Mo17","2","Stalk","Stalk","Inbred","MMH-2GH-31K_S135_L001_R1_001.trimmed.fastq.gz","MMH-2GH-31K_S135_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END12Ra","IH","DKC70-27","2","Root","Root","Hybrid","END12Ra_S199_L001_R1_001.fastq.gz","END12Ra_S199_L001_R2_001.fastq.gz","END","Root_END"
"MMH-23-2K","IH","B73","0","Stalk","Stalk","Inbred","MMH-23-2K_S52_L001_R1_001.fastq.gz","MMH-23-2K_S52_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-7K","GH","Hopi_blue","0","Stalk","Stalk","Open_Pollinated","MMH-2GH-7K_S134_L001_R1_001.trimmed.fastq.gz","MMH-2GH-7K_S134_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-14Z","GH","Reid_yellow_dent","0","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-2GH-14Z_S37_L001_R1_001.trimmed.fastq.gz","MMH-2GH-14Z_S37_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-3K","GH","Oh43","0","Stalk","Stalk","Inbred","MMH-2GH-3K_S147_L001_R1_001.trimmed.fastq.gz","MMH-2GH-3K_S147_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END5Rb","IH","B73","0","Root","Root","Inbred","END5Rb_S224_L001_R1_001.fastq.gz","END5Rb_S224_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-27R","GH","Reid_yellow_dent","1","Root","Root","Open_Pollinated","MMH-2GH-27R_S94_L001_R1_001.trimmed.fastq.gz","MMH-2GH-27R_S94_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-29K","GH","B73xPh207","1","Stalk","Stalk","Hybrid","MMH-2GH-29K_S113_L001_R1_001.trimmed.fastq.gz","MMH-2GH-29K_S113_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END1Ra","IH","Mo17","0","Root","Root","Inbred","END1Ra_S271_L001_R1_001.fastq.gz","END1Ra_S271_L001_R2_001.fastq.gz","END","Root_END"
"END6Rb","IH","CML322","1","Root","Root","Inbred","END6Rb_S284_L001_R1_001.fastq.gz","END6Rb_S284_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-26R","GH","B73xMo17","1","Root","Root","Hybrid","MMH-2GH-26R_S93_L001_R1_001.trimmed.fastq.gz","MMH-2GH-26R_S93_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END8Za","IH","Mo17","1","Rhizosphere","Rhizosphere","Inbred","END8Za_S216_L001_R1_001.fastq.gz","END8Za_S216_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-2K","GH","B73xMo17","0","Stalk","Stalk","Hybrid","MMH-2GH-2K_S146_L001_R1_001.trimmed.fastq.gz","MMH-2GH-2K_S146_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-18K","GH","Oh43","1","Stalk","Stalk","Inbred","MMH-2GH-18K_S132_L001_R1_001.trimmed.fastq.gz","MMH-2GH-18K_S132_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-17R","GH","B73","1","Root","Root","Inbred","MMH-2GH-17R_S85_L001_R1_001.trimmed.fastq.gz","MMH-2GH-17R_S85_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-23-1K","IH","B73","0","Stalk","Stalk","Inbred","MMH-23-1K_S51_L001_R1_001.fastq.gz","MMH-23-1K_S51_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"P6BR","Blank","Blank","Blank","Root","Blank-Root","Blank","P6BR_S248_L001_R1_001.fastq.gz","P6BR_S248_L001_R2_001.fastq.gz","END","Blank-Root_END"
"MMH-2GH-8R","GH","Ph207xB73","0","Root","Root","Hybrid","MMH-2GH-8R_S77_L001_R1_001.trimmed.fastq.gz","MMH-2GH-8R_S77_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"P1BK","Blank","Blank","Blank","Stalk","Blank-Stalk","Blank","P1BK_S66_L001_R1_001.fastq.gz","P1BK_S66_L001_R2_001.fastq.gz","END","Blank-Stalk_END"
"MMH-2GH-4Z","GH","B73xCML247","0","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-4Z_S27_L001_R1_001.trimmed.fastq.gz","MMH-2GH-4Z_S27_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-24K","GH","Mo17xB73","1","Stalk","Stalk","Hybrid","MMH-2GH-24K_S124_L001_R1_001.trimmed.fastq.gz","MMH-2GH-24K_S124_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-45Z","GH","Mo17xB73","2","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-45Z_S68_L001_R1_001.trimmed.fastq.gz","MMH-2GH-45Z_S68_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
